KID,Teff,logg,Mass,Prot,Prot_err,LPH,w,DC
5130490,5809,4.43,1.0503,51.585,7.782,0.147,0.0049,0
5130641,5631,4.65,1.0002,4.771,0.005,0.107,0.0206,0
5130653,5121,4.30,0.8656,0.401,0.003,0.426,0.2305,0
5130657,4749,4.79,0.7684,57.204,9.186,0.200,0.0147,0
5131078,5430,4.24,0.9461,24.367,1.777,0.141,0.0930,0
5131142,5697,4.49,1.0185,nan,nan,nan,nan,0
5131160,5506,4.31,0.9663,nan,nan,nan,nan,0
5131179,5412,4.29,0.9413,nan,nan,nan,nan,0
5131254,5606,4.43,0.9934,2.396,0.017,0.088,0.0152,0
5131294,5890,4.61,1.0739,nan,nan,nan,nan,0
5131313,5728,4.60,1.0272,5.956,0.725,0.193,0.0796,0
5131367,5785,4.34,1.0434,49.848,8.101,0.147,0.0064,0
5131573,5217,4.27,0.8904,nan,nan,nan,nan,0
5164236,5502,4.33,0.9653,nan,nan,nan,nan,0
5164250,5842,4.37,1.0598,nan,nan,nan,nan,0
5164315,5153,4.49,0.8738,nan,nan,nan,nan,0
5164358,6297,4.27,1.2033,nan,nan,nan,nan,0
5164434,5406,4.46,0.9398,nan,nan,nan,nan,0
5164490,6021,4.07,1.1134,nan,nan,nan,nan,0
5164549,5417,4.18,0.9427,nan,nan,nan,nan,0
5164617,5690,4.40,1.0166,nan,nan,nan,nan,0
5164633,5651,4.34,1.0058,11.075,0.253,0.132,0.0403,0
5164821,6274,4.42,1.1954,7.391,0.075,0.264,0.2339,0
5164878,5620,4.32,0.9972,55.385,7.255,0.293,0.0657,0
5164924,5475,4.29,0.9580,nan,nan,nan,nan,0
5165002,5131,4.43,0.8682,nan,nan,nan,nan,0
5165053,5223,4.57,0.8920,nan,nan,nan,nan,0
5165086,5183,4.45,0.8816,45.822,4.812,0.146,0.0265,0
5165151,5397,4.53,0.9374,0.271,0.004,0.069,0.0072,0
5165268,5164,4.47,0.8767,nan,nan,nan,nan,0
5165467,5285,4.38,0.9081,nan,nan,nan,nan,0
5165479,5948,4.44,1.0912,27.923,2.335,0.073,0.0361,0
5165497,4916,4.47,0.8124,nan,nan,nan,nan,0
5165762,5862,4.55,1.0657,nan,nan,nan,nan,0
5165789,4803,4.64,0.7828,nan,nan,nan,nan,0
5165822,5132,4.74,0.8684,nan,nan,nan,nan,0
5165882,5401,4.34,0.9384,nan,nan,nan,nan,0
5165901,5268,4.27,0.9036,nan,nan,nan,nan,0
5165940,5295,4.41,0.9107,nan,nan,nan,nan,0
5166023,4905,4.57,0.8095,nan,nan,nan,nan,0
5166094,5029,4.54,0.8418,nan,nan,nan,nan,0
5166153,5495,4.23,0.9634,46.465,4.332,0.256,0.0587,0
5166159,5226,4.61,0.8927,nan,nan,nan,nan,0
5166160,5116,4.42,0.8643,nan,nan,nan,nan,0
5166269,5580,4.41,0.9863,12.700,1.640,0.104,0.0393,0
5166301,5530,4.27,0.9728,nan,nan,nan,nan,0
5166310,6121,4.16,1.1449,17.843,0.430,0.135,0.0566,0
5166370,5170,4.43,0.8782,26.390,0.869,0.221,0.1171,0
5166510,5399,4.56,0.9379,10.370,1.670,0.102,0.0207,0
5166535,6354,4.13,1.2231,8.078,0.131,0.246,0.1893,0
5166548,5187,4.29,0.8826,28.536,6.200,0.204,0.1217,0
5166592,6075,4.40,1.1303,6.712,1.371,0.250,0.1705,0
5166667,5130,4.39,0.8679,nan,nan,nan,nan,0
5166671,5591,4.66,0.9893,nan,nan,nan,nan,0
5166749,5283,4.60,0.9075,nan,nan,nan,nan,0
5166811,5052,4.58,0.8477,nan,nan,nan,nan,0
5166825,5391,4.54,0.9358,nan,nan,nan,nan,0
5166838,5722,4.48,1.0255,nan,nan,nan,nan,0
5166850,5858,4.63,1.0645,nan,nan,nan,nan,0
5166857,5041,4.54,0.8449,nan,nan,nan,nan,0
5166867,5174,4.71,0.8793,nan,nan,nan,nan,0
5166881,5375,4.74,0.9316,nan,nan,nan,nan,0
5166901,5233,4.50,0.8946,nan,nan,nan,nan,0
5166927,5516,4.46,0.9690,nan,nan,nan,nan,0
5166928,5433,4.91,0.9469,nan,nan,nan,nan,0
5166985,5563,4.38,0.9817,nan,nan,nan,nan,0
5167008,6390,4.16,1.2359,5.670,0.524,0.126,0.1276,0
5167065,5596,4.62,0.9907,nan,nan,nan,nan,0
5167070,5683,4.63,1.0146,nan,nan,nan,nan,0
5167076,5392,4.58,0.9361,nan,nan,nan,nan,0
5167165,5849,4.24,1.0619,2.002,0.007,0.313,0.1759,0
5167171,6086,4.32,1.1338,nan,nan,nan,nan,0
5167288,5945,4.24,1.0903,nan,nan,nan,nan,0
5167358,5642,4.40,1.0033,nan,nan,nan,nan,0
5167541,4577,4.42,0.7218,43.114,1.698,0.154,0.0844,0
5167632,4858,4.54,0.7972,nan,nan,nan,nan,0
5167633,5534,4.84,0.9739,nan,nan,nan,nan,0
5167666,5689,4.47,1.0163,nan,nan,nan,nan,0
5167697,4869,4.45,0.8001,nan,nan,nan,nan,0
5167724,5387,4.95,0.9348,23.966,0.784,0.316,0.2224,0
5167767,6322,4.17,1.2119,3.581,0.074,0.241,0.1781,0
5167770,6012,4.30,1.1107,5.078,0.767,0.311,0.1976,0
5167966,5647,4.33,1.0046,nan,nan,nan,nan,0
5167970,5569,4.76,0.9833,51.816,2.864,0.264,0.0499,0
5168003,4924,4.47,0.8145,nan,nan,nan,nan,0
5168032,5193,4.34,0.8842,1.871,0.026,0.303,0.1454,0
5168479,5507,4.61,0.9666,21.747,0.109,0.271,0.1875,0
5168532,4736,4.80,0.7650,38.242,8.621,0.329,0.2001,0
5168586,5246,4.97,0.8979,nan,nan,nan,nan,0
5168652,5405,4.75,0.9395,41.021,4.718,0.099,0.0386,0
5168660,5462,4.64,0.9546,nan,nan,nan,nan,0
5168664,5615,4.87,0.9958,nan,nan,nan,nan,0
5168686,5268,4.70,0.9036,nan,nan,nan,nan,0
5168688,5265,4.35,0.9029,nan,nan,nan,nan,0
