KID,Teff,logg,Mass,Prot,Prot_err,LPH,w,DC
893305,4133,4.58,0.5958,nan,nan,nan,nan,0
1027110,4155,4.50,0.6046,1.701,0.039,0.299,0.1439,0
1027277,4326,4.57,0.6735,60.136,0.691,0.315,0.0876,0
1160660,4232,4.59,0.6355,nan,nan,nan,nan,0
1160684,3952,4.48,0.5239,0.419,0.090,0.150,0.0266,0
1161315,4247,4.59,0.6416,41.838,2.492,0.406,0.2434,0
1163114,4049,4.53,0.5622,0.766,0.167,0.217,0.0815,0
1163712,4212,4.63,0.6275,nan,nan,nan,nan,0
1164584,4154,4.50,0.6042,0.378,0.092,0.101,0.0040,0
1292147,4051,4.52,0.5630,nan,nan,nan,nan,0
1293046,4091,4.52,0.5790,nan,nan,nan,nan,0
1429629,4164,4.54,0.6082,nan,nan,nan,nan,0
1434455,4194,4.59,0.6202,nan,nan,nan,nan,0
1571340,4184,4.63,0.6162,nan,nan,nan,nan,0
1575893,4301,4.50,0.6634,nan,nan,nan,nan,0
1577167,3836,4.79,0.4788,nan,nan,nan,nan,1
1718059,3918,4.71,0.5106,50.645,10.310,0.300,0.1165,1
1720670,3927,4.72,0.5141,15.038,0.420,0.393,0.2091,1
1720673,4264,4.60,0.6484,nan,nan,nan,nan,0
1724498,4270,4.61,0.6509,30.838,0.831,0.186,0.0603,0
1725848,4300,4.53,0.6630,nan,nan,nan,nan,0
1849513,4090,4.65,0.5786,nan,nan,nan,nan,0
1995168,3916,4.71,0.5098,28.894,1.193,0.114,0.0476,1
1995305,3274,5.03,0.2778,54.200,12.275,0.307,0.1424,1
1996728,3549,4.88,0.3718,53.792,12.023,0.344,0.1553,1
2010137,3859,4.48,0.4877,1.584,0.346,0.189,0.0577,0
2014684,4028,4.54,0.5539,1.768,0.378,0.215,0.0790,0
2016946,4064,4.81,0.5682,56.468,13.256,0.346,0.1262,0
2018047,4008,4.50,0.5460,nan,nan,nan,nan,0
2020307,4387,4.49,0.6981,57.000,9.831,0.349,0.1213,0
2142111,4302,4.62,0.6638,nan,nan,nan,nan,0
2156545,4186,4.61,0.6170,nan,nan,nan,nan,0
2166547,3743,4.83,0.4433,26.642,0.431,0.321,0.1743,1
2282663,4125,4.56,0.5926,69.189,1.679,0.222,0.0112,0
2283892,4280,4.84,0.6549,42.614,5.542,0.254,0.1437,0
2284116,4301,4.65,0.6634,nan,nan,nan,nan,0
2284919,3564,4.82,0.3771,21.833,1.920,0.064,0.0311,1
2285481,4304,4.53,0.6646,28.924,10.299,0.238,0.1006,0
2297384,4184,4.54,0.6162,0.337,0.078,0.150,0.0259,0
2297825,4169,4.52,0.6102,0.337,0.081,0.147,0.0238,0
2299707,4080,4.60,0.5746,nan,nan,nan,nan,0
2305283,3495,4.86,0.3525,nan,nan,nan,nan,1
2306630,4329,4.77,0.6747,29.272,3.513,0.354,0.2016,0
2309070,4361,4.45,0.6876,60.821,13.802,0.325,0.0926,0
2421893,4191,4.61,0.6190,nan,nan,nan,nan,0
2424191,3929,4.44,0.5149,3.423,0.756,0.199,0.0645,0
2436209,4179,4.53,0.6142,0.215,0.043,0.154,0.0300,0
2436332,4054,4.50,0.5642,0.378,0.090,0.133,0.0115,0
2436540,4206,4.52,0.6251,nan,nan,nan,nan,0
2436814,4076,4.50,0.5730,0.439,0.102,0.122,0.0044,0
2436824,4066,4.50,0.5690,0.317,0.078,0.140,0.0184,0
2436849,4204,4.50,0.6243,19.810,0.601,0.081,0.0184,0
2437040,4051,4.52,0.5630,0.419,0.106,0.159,0.0345,0
2437402,4144,4.52,0.6002,0.235,0.056,0.154,0.0297,0
2437443,4384,4.55,0.6969,nan,nan,nan,nan,0
2437507,4024,4.47,0.5523,0.541,0.118,0.160,0.0348,0
2437539,4150,4.49,0.6026,0.235,0.055,0.118,0.0041,0
2437589,4163,4.52,0.6078,0.255,0.049,0.121,0.0040,0
2437653,4226,4.54,0.6331,nan,nan,nan,nan,0
2437698,4182,4.53,0.6154,0.337,0.074,0.156,0.0309,0
2437805,4147,4.51,0.6014,0.337,0.074,0.145,0.0225,0
2437816,3996,4.47,0.5412,0.603,0.136,0.215,0.0802,0
2437972,4266,4.55,0.6492,0.296,0.042,0.097,0.0029,0
2438038,4165,4.54,0.6086,0.378,0.055,0.086,0.0038,0
2438094,4158,4.47,0.6058,1.093,0.231,0.214,0.0787,0
2439496,4321,4.68,0.6714,38.099,8.550,0.325,0.2389,0
2442692,4040,4.41,0.5587,51.933,4.603,0.386,0.1725,0
2443944,4336,4.47,0.6775,33.077,0.628,0.316,0.1876,0
2448727,4325,4.51,0.6731,0.276,0.069,0.083,0.0023,0
2450581,4358,4.78,0.6864,nan,nan,nan,nan,0
2451529,3337,4.98,0.2984,nan,nan,nan,nan,1
2452748,4289,4.61,0.6585,nan,nan,nan,nan,0
2557479,4081,4.48,0.5750,62.174,2.929,0.343,0.1064,0
2569000,4361,4.57,0.6876,nan,nan,nan,nan,0
2569360,4021,4.51,0.5511,0.501,0.110,0.175,0.0476,0
2570094,4222,4.53,0.6315,nan,nan,nan,nan,0
2570518,4218,4.53,0.6299,0.501,0.066,0.228,0.0892,0
2573016,4326,4.70,0.6735,nan,nan,nan,nan,0
2574699,4328,4.52,0.6743,36.213,0.505,0.208,0.1042,0
2577056,4350,4.42,0.6832,37.097,5.592,0.245,0.1475,0
2579041,4357,4.56,0.6860,nan,nan,nan,nan,0
2580109,4196,4.73,0.6210,nan,nan,nan,nan,0
2581647,4218,4.64,0.6299,nan,nan,nan,nan,0
2582135,4347,4.71,0.6819,nan,nan,nan,nan,0
2583649,4306,4.70,0.6654,42.310,0.796,0.399,0.2344,0
2692429,4301,4.63,0.6634,20.526,1.294,0.030,0.0151,0
2708445,4148,4.44,0.6018,nan,nan,nan,nan,0
2709731,4138,4.57,0.5978,15.154,0.126,0.313,0.1503,0
2721113,3530,4.98,0.3650,nan,nan,nan,nan,1
2721506,4149,4.43,0.6022,62.423,3.877,0.378,0.1319,0
2831943,4108,4.40,0.5858,39.978,9.678,0.089,0.1122,0
2833945,4311,4.64,0.6674,44.188,5.122,0.298,0.1574,0
2834053,4322,4.70,0.6718,46.211,7.780,0.331,0.1627,0
2835160,4381,4.51,0.6957,nan,nan,nan,nan,0
2837046,3383,4.99,0.3139,60.882,14.541,0.352,0.1403,1
2845560,4250,4.58,0.6428,42.142,1.948,0.398,0.2362,0
2846051,4012,4.46,0.5476,1.614,0.180,0.297,0.1423,0
2846944,4049,4.54,0.5622,1.318,0.275,0.275,0.1263,0
2847114,3914,4.51,0.5090,1.318,0.289,0.190,0.0586,0
2849722,4357,4.45,0.6860,nan,nan,nan,nan,0
2850262,4385,4.79,0.6973,46.371,0.316,0.144,0.0829,0
2850322,4224,4.64,0.6323,64.213,5.010,0.190,0.0161,0
2850521,4358,4.47,0.6864,nan,nan,nan,nan,0
2850913,4307,4.42,0.6658,0.215,0.050,0.158,0.0314,0
2854099,4299,4.67,0.6626,0.984,0.036,0.082,0.0027,0
2854411,4354,4.57,0.6848,28.320,0.417,0.160,0.0366,0
2858337,4224,4.63,0.6323,nan,nan,nan,nan,0
2971679,4107,4.47,0.5854,35.749,5.246,0.276,0.1776,0
2972492,4317,4.55,0.6698,47.527,1.202,0.302,0.1346,0
2983183,4256,4.52,0.6452,nan,nan,nan,nan,0
2985277,4317,4.49,0.6698,nan,nan,nan,nan,0
2985404,4323,4.66,0.6722,46.640,5.214,0.230,0.0907,0
2986860,4181,4.51,0.6150,1.093,0.264,0.317,0.1571,0
2991497,3926,4.72,0.5137,43.636,10.427,0.378,0.2131,1
2994813,4083,4.53,0.5758,nan,nan,nan,nan,0
3098586,4371,4.91,0.6916,25.184,3.893,0.137,0.0252,0
3102561,4200,4.60,0.6227,41.699,1.195,0.341,0.2069,0
3103693,4316,4.48,0.6694,nan,nan,nan,nan,0
3110766,4304,4.61,0.6646,nan,nan,nan,nan,0
3111407,4341,4.77,0.6795,43.983,5.243,0.119,0.1106,0
3119525,3679,4.77,0.4193,nan,nan,nan,nan,1
3121957,4349,4.66,0.6828,nan,nan,nan,nan,0
3130278,4404,4.52,0.7050,0.327,0.082,0.114,0.0021,0
3216554,4223,4.53,0.6319,41.259,0.443,0.354,0.2191,0
3218080,4299,4.45,0.6626,44.086,8.518,0.269,0.1394,0
3228276,3249,5.12,0.2698,nan,nan,nan,nan,1
3230048,4204,4.54,0.6243,nan,nan,nan,nan,0
3232334,3932,4.54,0.5161,40.019,9.665,0.368,0.2376,0
3232393,3941,4.72,0.5196,14.320,0.194,0.282,0.1258,1
3234941,4269,4.61,0.6505,50.175,6.825,0.211,0.0528,0
3235003,4112,4.50,0.5874,nan,nan,nan,nan,0
3235567,3601,4.88,0.3906,29.542,1.354,0.296,0.1617,1
3236003,4213,4.60,0.6279,46.097,1.765,0.244,0.1055,0
3241340,4302,4.55,0.6638,nan,nan,nan,nan,0
3248658,4081,4.47,0.5750,38.115,1.416,0.346,0.2461,0
3324375,4101,4.66,0.5830,41.184,7.808,0.280,0.1736,0
3328429,4398,4.64,0.7025,nan,nan,nan,nan,0
3328643,3932,4.71,0.5161,nan,nan,nan,nan,1
3329865,3960,4.45,0.5271,40.453,1.429,0.392,0.2481,0
3331515,4135,4.62,0.5966,47.872,1.700,0.235,0.0873,0
3335266,4326,4.40,0.6735,68.443,10.834,0.137,0.0106,0
3335305,4370,4.52,0.6912,40.857,6.768,0.208,0.1378,0
3343420,4381,4.62,0.6957,nan,nan,nan,nan,0
3346467,3951,4.71,0.5235,nan,nan,nan,nan,1
3348817,4284,4.76,0.6565,nan,nan,nan,nan,0
3352523,4025,4.53,0.5527,37.251,5.041,0.232,0.1469,0
3353108,3906,4.77,0.5059,nan,nan,nan,nan,1
3353880,4287,4.64,0.6577,43.447,0.390,0.353,0.1986,0
3357002,4375,4.42,0.6933,nan,nan,nan,nan,0
3425363,4308,4.61,0.6662,nan,nan,nan,nan,0
3426250,3990,4.70,0.5389,22.840,0.438,0.354,0.1896,1
3426422,4313,4.67,0.6682,nan,nan,nan,nan,0
3426852,4089,4.57,0.5782,39.684,1.001,0.327,0.2178,0
3429112,4265,4.47,0.6488,nan,nan,nan,nan,0
3430778,4299,4.62,0.6626,42.699,6.113,0.370,0.2149,0
3430981,4154,4.57,0.6042,28.414,0.369,0.200,0.0711,0
3431143,3725,4.58,0.4365,3.484,0.757,0.207,0.0727,0
3431246,4058,4.63,0.5658,43.814,2.580,0.317,0.1740,0
3431453,4292,4.64,0.6597,nan,nan,nan,nan,0
3432286,3755,4.84,0.4478,nan,nan,nan,nan,1
3439791,3753,4.78,0.4471,0.437,0.003,0.144,0.0225,1
3440423,4211,4.45,0.6271,nan,nan,nan,nan,0
3453664,4278,4.71,0.6541,57.562,11.957,0.398,0.1569,0
3454720,4199,4.45,0.6223,nan,nan,nan,nan,0
3455493,4335,4.67,0.6771,19.973,0.260,0.438,0.2408,0
3456577,4188,4.47,0.6178,nan,nan,nan,nan,0
3457861,3915,4.72,0.5094,nan,nan,nan,nan,1
3530287,4329,4.66,0.6747,28.760,6.379,0.380,0.2208,0
3532233,4218,4.62,0.6299,41.082,6.481,0.343,0.2141,0
3540204,4387,4.66,0.6981,nan,nan,nan,nan,0
3544774,4215,4.63,0.6287,nan,nan,nan,nan,0
3545104,3705,4.57,0.4290,nan,nan,nan,nan,0
3545291,3747,4.77,0.4448,29.272,0.610,0.246,0.1184,1
3547906,3906,4.72,0.5059,67.378,1.374,0.432,0.1592,1
3559731,4352,4.64,0.6840,44.641,4.474,0.340,0.1798,0
3561148,3507,4.05,0.3568,60.177,2.488,0.370,0.1496,0
3628718,4118,4.50,0.5898,nan,nan,nan,nan,0
3633335,3691,4.59,0.4238,2.830,0.638,0.167,0.0410,0
3633735,4293,4.38,0.6601,36.638,2.429,0.309,0.2098,0
3642676,4318,4.61,0.6702,32.689,2.855,0.273,0.1470,0
3647136,4277,4.49,0.6537,nan,nan,nan,nan,0
3648391,4082,4.69,0.5754,nan,nan,nan,nan,0
3658066,3909,4.79,0.5071,39.600,5.943,0.259,0.1744,1
3658619,3388,4.92,0.3155,44.423,9.251,0.342,0.2219,1
3658781,3551,4.92,0.3725,nan,nan,nan,nan,1
3728205,4254,4.58,0.6444,21.712,0.132,0.403,0.2214,0
3731435,4201,4.48,0.6231,61.517,0.530,0.442,0.1785,0
3734459,4316,4.53,0.6694,nan,nan,nan,nan,0
3735269,4220,4.53,0.6307,0.296,0.072,0.207,0.0727,0
3735699,3953,4.53,0.5243,2.605,0.599,0.179,0.0483,0
3743562,4271,4.67,0.6513,30.742,4.089,0.388,0.2398,0
3747617,4284,4.66,0.6565,nan,nan,nan,nan,0
3763613,4317,4.32,0.6698,nan,nan,nan,nan,0
3763843,4217,4.70,0.6295,nan,nan,nan,nan,0
3765482,4319,4.66,0.6706,nan,nan,nan,nan,0
3833890,4159,4.55,0.6062,27.287,0.637,0.332,0.1830,0
3836105,4059,4.54,0.5662,1.788,0.401,0.248,0.1054,0
3836257,3850,4.74,0.4842,nan,nan,nan,nan,1
3848056,4174,4.47,0.6122,35.310,2.685,0.250,0.1477,0
3851673,4094,4.49,0.5802,19.691,0.411,0.289,0.1339,0
3855015,4102,4.66,0.5834,nan,nan,nan,nan,0
3859412,4361,4.69,0.6876,nan,nan,nan,nan,0
3859706,4339,4.68,0.6787,39.560,9.316,0.351,0.2356,0
3860871,4250,4.73,0.6428,40.765,5.601,0.202,0.1304,0
3862190,4399,4.71,0.7029,nan,nan,nan,nan,0
3864067,4311,4.67,0.6674,nan,nan,nan,nan,0
3865534,4067,4.62,0.5694,41.455,5.211,0.136,0.1244,0
3866232,3839,4.78,0.4799,17.526,1.253,0.319,0.1559,1
3940781,4287,4.61,0.6577,38.732,9.877,0.205,0.1234,0
3943444,4312,4.55,0.6678,nan,nan,nan,nan,0
3946065,4299,4.55,0.6626,52.654,2.786,0.462,0.2149,0
3952780,4325,4.72,0.6731,39.629,2.725,0.306,0.2096,0
3955963,3818,4.76,0.4719,51.031,4.451,0.354,0.1574,1
3956389,3811,4.73,0.4692,nan,nan,nan,nan,1
3956926,4236,4.56,0.6371,nan,nan,nan,nan,0
3957332,4160,4.57,0.6066,19.921,0.262,0.372,0.1984,0
3964318,4384,4.69,0.6969,nan,nan,nan,nan,0
3964632,3926,4.44,0.5137,1.287,0.276,0.227,0.0891,0
3967921,4367,4.55,0.6900,nan,nan,nan,nan,0
3969220,4028,4.45,0.5539,1.349,0.296,0.204,0.0706,0
3974127,4301,4.51,0.6634,0.225,0.048,0.141,0.0172,0
3974206,4242,4.51,0.6396,nan,nan,nan,nan,0
4035672,4192,4.64,0.6194,nan,nan,nan,nan,0
4036311,4310,4.36,0.6670,15.111,2.724,0.382,0.1964,0
4037536,4321,4.59,0.6714,nan,nan,nan,nan,0
4037911,4156,4.63,0.6050,nan,nan,nan,nan,0
4041075,4254,4.55,0.6444,nan,nan,nan,nan,0
4041741,4237,4.56,0.6376,nan,nan,nan,nan,0
4042185,4361,4.69,0.6876,35.377,0.985,0.255,0.1435,0
4044277,4360,4.67,0.6872,32.979,1.402,0.341,0.2086,0
4057198,4155,4.83,0.6046,nan,nan,nan,nan,0
4060347,3837,4.74,0.4792,2.135,0.570,0.288,0.1354,1
4063943,4080,4.74,0.5746,21.128,2.118,0.048,0.0223,0
4071678,4283,4.49,0.6561,40.847,4.358,0.374,0.2339,0
4072276,4368,4.73,0.6904,nan,nan,nan,nan,0
4076888,4365,4.74,0.6892,33.164,3.910,0.206,0.0829,0
4077867,3490,4.92,0.3508,0.960,0.000,0.257,0.1177,1
4078900,3903,4.73,0.5047,48.329,0.395,0.461,0.2368,1
4136435,4255,4.61,0.6448,3.135,0.020,0.105,0.0039,0
4137187,3868,4.73,0.4911,nan,nan,nan,nan,1
4139175,4217,4.53,0.6295,28.740,4.271,0.257,0.1213,0
4140796,4219,4.48,0.6303,0.276,0.066,0.164,0.0374,0
4141587,4247,4.56,0.6416,nan,nan,nan,nan,0
4141698,4261,4.56,0.6472,nan,nan,nan,nan,0
4142455,4314,4.59,0.6686,46.425,1.189,0.381,0.1939,0
4142771,4382,4.49,0.6961,nan,nan,nan,nan,0
4142884,4351,4.56,0.6836,nan,nan,nan,nan,0
4143733,4103,4.60,0.5838,46.795,1.736,0.254,0.1080,0
4147149,4319,4.62,0.6706,32.214,9.216,0.383,0.2432,0
4148836,4400,4.57,0.7033,42.492,6.911,0.367,0.2118,0
4149896,4346,4.79,0.6815,39.713,5.325,0.263,0.1851,0
4155174,4069,4.54,0.5702,nan,nan,nan,nan,0
4155840,3431,4.90,0.3302,48.790,2.338,0.428,0.2456,1
4157872,4297,4.61,0.6618,44.559,4.612,0.187,0.0919,0
4158858,4183,4.66,0.6158,45.159,0.653,0.314,0.1619,0
4242987,4113,4.60,0.5878,43.575,8.341,0.375,0.2128,0
4246729,4189,4.53,0.6182,0.255,0.056,0.158,0.0332,0
4247905,4088,4.60,0.5778,nan,nan,nan,nan,0
4248675,4208,4.28,0.6259,0.378,0.082,0.106,0.0035,0
4249500,3345,4.97,0.3011,50.032,8.126,0.264,0.1294,1
4252080,3940,4.43,0.5192,1.481,0.312,0.230,0.0908,0
4253510,4077,4.54,0.5734,33.767,5.255,0.253,0.1437,0
4262723,4396,4.58,0.7017,nan,nan,nan,nan,0
4262814,3721,4.76,0.4350,20.276,0.516,0.392,0.2164,1
4268911,4114,4.66,0.5882,56.179,2.016,0.501,0.2325,0
4270283,4336,4.66,0.6775,31.741,1.648,0.360,0.2194,0
4270441,3707,4.86,0.4297,20.278,0.233,0.414,0.2322,1
4270764,4344,4.77,0.6807,nan,nan,nan,nan,0
4271075,4276,4.53,0.6533,47.958,5.014,0.442,0.2236,0
4271415,4284,4.68,0.6565,30.591,2.386,0.366,0.2197,0
4277598,3350,4.96,0.3028,52.623,1.972,0.259,0.1101,1
4345154,4388,4.75,0.6985,nan,nan,nan,nan,0
4345291,4034,4.53,0.5563,44.719,7.227,0.131,0.0946,0
4346953,4231,4.55,0.6351,0.398,0.097,0.188,0.0576,0
4347371,4345,4.41,0.6811,37.547,4.511,0.205,0.1104,0
4348195,4213,4.62,0.6279,13.047,2.906,0.253,0.1012,0
4357990,4228,4.66,0.6339,34.998,1.544,0.275,0.1676,0
4358801,4382,4.63,0.6961,49.419,8.158,0.451,0.2191,0
4358910,4363,4.54,0.6884,28.495,3.919,0.183,0.0463,0
4367318,3653,4.81,0.4096,42.258,1.093,0.273,0.1738,1
4371437,4320,4.45,0.6710,26.576,0.813,0.327,0.1703,0
4375359,3396,5.01,0.3183,45.812,8.875,0.319,0.1952,1
4376841,3775,4.52,0.4554,4.271,0.975,0.243,0.1002,0
4377055,3905,4.72,0.5055,23.762,0.873,0.282,0.1341,1
4378642,4119,4.64,0.5902,32.412,0.354,0.252,0.1357,0
4386094,4230,4.56,0.6347,35.555,9.824,0.284,0.1798,0
4443512,4334,4.56,0.6767,30.834,0.845,0.364,0.2173,0
4445453,4347,4.62,0.6819,nan,nan,nan,nan,0
4446937,4263,4.62,0.6480,41.756,10.195,0.322,0.1949,0
4454364,3604,4.83,0.3916,nan,nan,nan,nan,1
4456589,4263,4.51,0.6480,24.980,4.682,0.151,0.0297,0
4464535,4365,4.83,0.6892,nan,nan,nan,nan,0
4465790,4034,4.58,0.5563,20.443,0.871,0.272,0.1210,0
4465957,3453,4.92,0.3379,nan,nan,nan,nan,1
4469629,4358,4.50,0.6864,36.781,6.544,0.281,0.1803,0
4470094,4235,4.63,0.6367,nan,nan,nan,nan,0
4471424,4308,4.58,0.6662,nan,nan,nan,nan,0
4472096,4129,4.64,0.5942,11.136,2.268,0.142,0.0110,0
4474696,4371,4.51,0.6916,nan,nan,nan,nan,0
4480680,4336,4.59,0.6775,47.017,2.418,0.294,0.1325,0
4480880,4297,4.55,0.6618,42.952,4.040,0.253,0.1399,0
4482641,4027,4.45,0.5535,nan,nan,nan,nan,0
4543237,3845,4.72,0.4822,nan,nan,nan,nan,1
4543424,4105,4.54,0.5846,39.815,3.906,0.314,0.2089,0
4546719,4287,4.56,0.6577,33.481,4.373,0.119,0.0595,0
4548519,4302,4.60,0.6638,nan,nan,nan,nan,0
4554781,4001,4.54,0.5432,nan,nan,nan,nan,0
4554999,4201,4.59,0.6231,47.886,15.145,0.306,0.1375,0
4555523,3958,4.72,0.5263,21.954,0.283,0.270,0.1215,1
4568493,4211,4.59,0.6271,55.982,10.072,0.409,0.1712,0
4568737,4402,4.63,0.7042,37.133,2.456,0.316,0.2213,0
4571307,4394,4.59,0.7009,40.561,6.430,0.246,0.1620,0
4575141,3927,4.71,0.5141,nan,nan,nan,nan,1
4579983,4220,4.61,0.6307,33.736,2.671,0.201,0.0892,0
4580399,4318,4.60,0.6702,nan,nan,nan,nan,0
4588827,4171,4.61,0.6110,38.895,3.260,0.118,0.1041,0
4588845,4127,4.42,0.5934,nan,nan,nan,nan,0
4643982,4339,4.55,0.6787,nan,nan,nan,nan,0
4646464,4378,4.57,0.6945,32.013,0.319,0.219,0.0909,0
4650035,4289,4.60,0.6585,nan,nan,nan,nan,0
4661933,4273,4.56,0.6521,nan,nan,nan,nan,0
4670415,3976,4.71,0.5334,nan,nan,nan,nan,1
4671899,4222,4.58,0.6315,31.660,0.699,0.342,0.2077,0
4673366,3933,4.69,0.5165,35.819,0.317,0.294,0.1962,1
4680677,3799,4.75,0.4646,45.679,9.505,0.240,0.1097,1
4731007,4287,4.53,0.6577,nan,nan,nan,nan,0
4731815,4264,4.66,0.6484,28.176,1.858,0.219,0.0837,0
4732329,4382,4.62,0.6961,nan,nan,nan,nan,0
4736011,4367,4.52,0.6900,32.838,1.920,0.244,0.1184,0
4737129,3632,4.83,0.4019,54.178,1.943,0.331,0.1383,1
4737398,4289,4.74,0.6585,34.248,1.803,0.246,0.1315,0
4738956,4208,4.66,0.6259,46.865,10.705,0.374,0.1890,0
4740044,3921,4.72,0.5118,nan,nan,nan,nan,1
4750255,4338,4.74,0.6783,nan,nan,nan,nan,0
4750467,4152,4.68,0.6034,nan,nan,nan,nan,0
4753178,4354,4.55,0.6848,nan,nan,nan,nan,0
4754101,4087,4.57,0.5774,nan,nan,nan,nan,0
4758472,4404,4.73,0.7050,33.554,0.691,0.252,0.1312,0
4760625,4253,4.71,0.6440,41.646,1.230,0.395,0.2386,0
4761488,4256,4.58,0.6452,56.765,13.102,0.298,0.0871,0
4768944,3408,4.98,0.3224,34.035,0.288,0.284,0.1654,1
4769680,4183,4.60,0.6158,30.545,2.001,0.166,0.0545,0
4813925,3649,4.81,0.4082,nan,nan,nan,nan,1
4814363,4207,4.38,0.6255,nan,nan,nan,nan,0
4814724,4264,4.51,0.6484,0.644,0.153,0.206,0.0717,0
4818778,4327,4.54,0.6739,60.576,6.786,0.191,0.0201,0
4824324,4326,4.30,0.6735,69.382,8.051,0.279,0.0354,0
4826493,4223,4.45,0.6319,nan,nan,nan,nan,0
4827244,4131,4.57,0.5950,32.162,0.239,0.253,0.1353,0
4833059,4286,4.60,0.6573,56.591,8.088,0.266,0.0624,0
4840079,3375,4.93,0.3112,nan,nan,nan,nan,1
4844204,4363,4.43,0.6884,51.634,1.976,0.460,0.2163,0
4847713,4107,4.58,0.5854,43.936,1.399,0.369,0.2062,0
4848826,4394,4.62,0.7009,nan,nan,nan,nan,0
4852902,4151,4.51,0.6030,nan,nan,nan,nan,0
4858284,4257,4.48,0.6456,nan,nan,nan,nan,0
4858864,4107,4.54,0.5854,nan,nan,nan,nan,0
4862788,4266,4.56,0.6492,nan,nan,nan,nan,0
4864391,3808,4.78,0.4680,19.569,1.226,0.164,0.0299,1
4903497,4206,4.54,0.6251,0.606,0.021,0.220,0.0834,0
4903839,4242,4.56,0.6396,0.461,0.032,0.228,0.0894,0
4904726,4152,4.59,0.6034,44.313,6.188,0.190,0.0922,0
4907400,4203,4.61,0.6239,nan,nan,nan,nan,0
4914737,3926,4.71,0.5137,nan,nan,nan,nan,1
4930324,4127,4.57,0.5934,38.505,1.027,0.305,0.2185,0
4931188,3706,4.78,0.4294,nan,nan,nan,nan,1
4932675,3348,4.98,0.3021,55.212,9.071,0.381,0.1865,1
4947625,4357,4.57,0.6860,nan,nan,nan,nan,0
4948655,4194,4.65,0.6202,32.255,4.039,0.252,0.1318,0
4949012,3956,4.71,0.5255,nan,nan,nan,nan,1
4989613,4344,4.57,0.6807,nan,nan,nan,nan,0
4990862,3574,4.81,0.3808,37.075,0.539,0.319,0.2131,1
4991026,3605,4.84,0.3920,28.577,0.731,0.355,0.2074,1
4992379,4103,4.47,0.5838,58.174,9.607,0.279,0.0703,0
4992637,4175,4.62,0.6126,44.494,7.547,0.261,0.1310,0
4997179,3275,5.04,0.2782,nan,nan,nan,nan,1
5002294,4304,4.69,0.6646,27.081,2.003,0.285,0.1369,0
5005300,4273,4.77,0.6521,nan,nan,nan,nan,0
5006739,4396,4.64,0.7017,31.785,3.509,0.240,0.1105,0
5009036,3715,4.88,0.4327,49.296,6.131,0.264,0.1090,1
5015663,4298,4.56,0.6622,nan,nan,nan,nan,0
5020447,4247,4.60,0.6416,26.686,4.889,0.191,0.0555,0
5022541,4358,4.48,0.6864,nan,nan,nan,nan,0
5033582,4231,4.46,0.6351,57.327,10.426,0.279,0.0710,0
5036804,4222,4.51,0.6315,39.144,2.175,0.281,0.1990,0
5038462,4266,4.61,0.6492,26.717,5.897,0.256,0.1124,0
5079019,4216,4.62,0.6291,28.613,0.248,0.394,0.2366,0
5079274,4303,4.50,0.6642,nan,nan,nan,nan,0
5079348,3295,5.01,0.2846,nan,nan,nan,nan,1
5080174,4082,4.69,0.5754,45.714,1.088,0.356,0.1855,0
5083938,3953,4.48,0.5243,41.947,0.566,0.327,0.1950,0
5093980,3702,4.89,0.4279,41.777,3.668,0.192,0.1217,1
5095458,4122,4.47,0.5914,nan,nan,nan,nan,0
5107392,4216,4.58,0.6291,34.104,4.616,0.306,0.1910,0
5107716,4195,4.66,0.6206,nan,nan,nan,nan,0
5110817,3720,4.82,0.4346,nan,nan,nan,nan,1
5111987,4287,4.55,0.6577,nan,nan,nan,nan,0
5125383,4269,4.55,0.6505,19.480,3.095,0.112,0.0168,0
5125742,4348,4.59,0.6823,nan,nan,nan,nan,0
5125745,3556,4.82,0.3743,nan,nan,nan,nan,1
5126248,3575,4.20,0.3811,nan,nan,nan,nan,0
5130870,4404,4.40,0.7050,40.530,5.408,0.217,0.1436,0
5165550,4216,4.49,0.6291,31.764,10.021,0.239,0.1163,0
5166493,4304,4.42,0.6646,nan,nan,nan,nan,0
5166666,4309,4.51,0.6666,nan,nan,nan,nan,0
5176630,4113,4.54,0.5878,31.342,0.616,0.352,0.2191,0
5184495,4303,4.71,0.6642,48.811,1.044,0.210,0.0594,0
5184510,4399,4.64,0.7029,nan,nan,nan,nan,0
5184763,4280,4.54,0.6549,nan,nan,nan,nan,0
5185509,3541,4.87,0.3689,nan,nan,nan,nan,1
5201228,4394,4.65,0.7009,nan,nan,nan,nan,0
5202525,4323,4.49,0.6722,nan,nan,nan,nan,0
5212472,4288,4.56,0.6581,nan,nan,nan,nan,0
5214286,4356,4.42,0.6856,nan,nan,nan,nan,0
5217018,4236,4.29,0.6371,nan,nan,nan,nan,0
5218947,4092,4.31,0.5794,32.418,4.902,0.323,0.1998,0
5256645,3900,4.70,0.5036,24.960,0.613,0.405,0.2338,1
5262820,3916,4.71,0.5098,nan,nan,nan,nan,1
5263722,4213,4.71,0.6279,42.819,5.873,0.205,0.1083,0
5264662,4338,4.56,0.6783,34.584,3.249,0.290,0.1731,0
5264804,4306,4.64,0.6654,45.741,4.186,0.245,0.1084,0
5266117,3928,4.71,0.5145,nan,nan,nan,nan,1
5271436,4307,4.48,0.6658,nan,nan,nan,nan,0
