,angDist,kepid,source_id,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,tm_designation,ra_kic,dec_kic,kepmag,teff,teff_err1,teff_err2,teff_prov,logg_gk,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,kepoi_name,planet?,relative_parallax_err,Teff,logg_mc,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag,jz
7805,0.043156,5091941.0,2.1012582249652157e+18,289.58322441396,0.0319,40.24327947545,0.0419,3.4623,0.0398,14.757,0.066,35.548,0.09,153668.0,57.6033,12.721904,69751.8,171.237,13.2425,119605.0,127.419,12.067546,1.174954,-35.16,0.87,4898.61,0.6662,0.324,1.05,0.572,b'2MASS J19181994+4014352',289.58313,40.243118,12.757,5032.0,151.0,-136.0,b'PHO1',4.529,0.078,-0.117,b'KIC0',-0.12,0.3,-0.3,b'KIC0',0.775,0.095,-0.078,0.74,0.104,-0.052,b'DSEP',0.0,0.0,0.0,11.283,10.803,10.727,b'N/A',b'none',0.011495248823036711,4861,4.2,0.7979999999999999,16.387,0.053,16835.33,1.213,0.6940000000000001,0,---,0.29256898397880693
7825,1.160906,5093851.0,2.1011553175498514e+18,290.15112191651,0.7809,40.25957222946,0.9026,,,,,,,272209.0,144.149,12.10111,96268.1,94.2654,12.892682,257034.0,194.07,11.236943,1.655739,9.64,1.42,4263.0,,,,,b'2MASS J19203631+4015354',290.15131,40.259861,12.116,4071.0,81.0,-81.0,b'SPE68',4.684,0.042,-0.015,b'SPE68',-0.32,0.15,-0.15,b'SPE68',0.558,0.025,-0.039,0.549,0.034,-0.027,b'DSEP',0.0,0.0,1.0,10.119,9.498,9.345,b'N/A',b'none',,4102,4.54,0.5834,14.637,0.561,2941.82,0.985,0.5522,0,---,
7834,0.084937,5094301.0,2.1011524656916106e+18,290.26915977551,0.0222,40.20238666364,0.0275,8.6176,0.0288,14.186,0.047,48.497,0.045,1461410.0,747.739,10.276438,752195.0,1178.33,10.660563,994694.0,1226.03,9.767695,0.892867,-24.2,0.38,5492.0,0.02,0.0123,0.99,0.795,b'2MASS J19210458+4012077',290.2691,40.20216,10.291,5650.0,76.0,-84.0,b'SPE68',4.527,0.021,-0.126,b'SPE68',0.21,0.15,-0.15,b'SPE68',0.915,0.136,-0.042,1.028,0.036,-0.077,b'DSEP',0.0,1.0,0.0,9.167,8.84,8.787,b'N/A',b'cand',0.0033419977720014855,5342,4.51,0.9229,18.897000000000002,0.052000000000000005,8353.89,0.9940000000000001,0.6031,0,---,0.3526086703430686
7864,0.010776,5097629.0,2.0534516999095662e+18,291.30165508683,0.0207,40.24807044106,0.0284,3.745,0.027,-2.247,0.047,2.319,0.047,246096.0,40.0558,12.210604,128802.0,143.684,12.576581,168045.0,124.328,11.698356,0.878225,-31.08,1.4,5517.0,0.088,0.0443,0.92,0.707,b'2MASS J19251240+4014530',291.30167,40.248058,12.248,5864.0,131.0,-174.0,b'PHO1',4.486,0.07,-0.13,b'FLK73',-0.28,0.3,-0.3,b'KIC0',0.903,0.174,-0.094,0.912,0.101,-0.101,b'DSEP',0.0,0.0,0.0,11.101,10.765,10.739,b'N/A',b'none',0.007209612817089452,5601,4.3,0.992,21.749000000000002,0.171,3352.4,0.688,0.4455,0,---,0.3666448218710269
7901,0.093241,5105118.0,2.0532759498494781e+18,293.46717329583,0.0976,40.27134611135,0.1104,2.4141,0.1169,2.061,0.216,1.11,0.218,106145.0,40.3876,13.123617,53077.4,72.1468,13.539115,77055.5,61.5177,12.54491,0.994205,-21.08,1.88,5348.0,0.2763,0.117,1.01,0.748,b'2MASS J19335211+4016168',293.46713,40.271332,13.142,5461.0,163.0,-163.0,b'PHO1',4.498,0.116,-0.159,b'KIC0',-0.52,0.35,-0.3,b'KIC0',0.792,0.16,-0.107,0.72,0.111,-0.044,b'DSEP',0.0,0.0,0.0,11.845,11.435,11.365,b'N/A',b'none',0.048423843254214824,5262,4.26,0.9021,15.304,0.35200000000000004,3166.97,0.693,0.4197,0,---,0.3410375036573872
7909,0.026191,5105797.0,2.053269249700328e+18,293.64017772504,0.0185,40.24068433076,0.0248,2.7216,0.0252,6.584,0.04,8.842,0.045,194048.0,71.8414,12.468595,102510.0,169.518,12.824475,131139.0,140.738,11.967587,0.856889,-18.81,1.11,5762.0,0.197,0.098,1.02,1.036,b'2MASS J19343363+4014263',293.64014,40.240639,12.513,5864.0,140.0,-157.0,b'PHO1',4.498,0.05,-0.2,b'KIC0',-0.1,0.3,-0.3,b'KIC0',0.925,0.275,-0.092,0.982,0.126,-0.113,b'DSEP',0.0,0.0,0.0,11.441,11.121,11.063,b'N/A',b'none',0.009259259259259259,5659,4.5,1.008,7.05,0.0,12742.58,1.135,0.6374,0,---,0.28168627444286176
7920,0.043931,5106576.0,2.053266363482379e+18,293.86303500207,0.0175,40.24935865868,0.0211,1.202,0.0211,-3.305,0.038,-5.802,0.04,163086.0,94.478,12.657322,83539.1,164.964,13.046663,113815.0,148.529,12.121421,0.925242,-80.61,2.91,5510.25,,,2.34,4.554,b'2MASS J19352713+4014578',293.86304,40.24939,12.678,5602.0,151.0,-151.0,b'PHO1',4.614,0.032,-0.128,b'KIC0',-0.5,0.3,-0.3,b'KIC0',0.732,0.146,-0.055,0.832,0.078,-0.095,b'DSEP',0.0,0.0,0.0,11.519,11.2,11.139,b'N/A',b'none',0.017554076539101498,5419,4.75,0.9432,4.6530000000000005,0.006,16903.97,1.334,0.6853,0,---,1.1425481939196556
7991,0.052501,5111396.0,2.076490140699759e+18,295.07679618754,0.2741,40.22292896857,0.3174,0.3922,0.3282,2.401,0.595,-1.039,0.624,154524.0,48.6014,12.715874,82613.2,77.5272,13.058765,104630.0,89.8762,12.212783,0.845983,-34.17,4.42,5642.82,,,,,b'2MASS J19401843+4013225',295.07678,40.222919,12.729,6028.0,163.0,-163.0,b'PHO1',4.224,0.192,-0.128,b'FLK73',-0.16,0.3,-0.3,b'KIC0',1.283,0.278,-0.278,1.005,0.145,-0.116,b'DSEP',0.0,0.0,0.0,11.639,11.356,11.297,b'N/A',b'none',0.8368179500254972,5768,4.26,1.0385,6.031000000000001,0.132,1998.72,1.2930000000000001,0.7018,0,---,14.329120031577252
8039,0.105037,5115642.0,2.0763834236630513e+18,295.94159910793,0.0289,40.29109076441,0.0362,1.4539,0.0404,-2.581,0.057,-10.991,0.07,156380.0,81.5905,12.702911,83178.4,162.925,13.051362,105359.0,136.919,12.205237,0.846125,-70.88,19.47,5737.0,,,1.73,2.929,b'2MASS J19434598+4017281',295.94159,40.291161,12.712,5941.0,159.0,-159.0,b'PHO1',4.461,0.098,-0.182,b'KIC0',-0.5,0.3,-0.3,b'KIC0',0.9,0.238,-0.119,0.854,0.105,-0.07,b'DSEP',0.0,0.0,0.0,11.619,11.319,11.245,b'N/A',b'none',0.02778733062796616,5690,4.47,1.0166,5.506,0.019,11659.71,1.222,0.6641,0,---,1.6815263093038137
8128,0.097877,5128159.0,2.073568807033076e+18,298.71656766587,0.017,40.29249596675,0.0204,2.2928,0.0217,4.005,0.036,6.874,0.04,253480.0,65.9781,12.178505,137902.0,202.924,12.502464,167126.0,141.893,11.704309,0.798155,-17.64,2.02,5838.0,0.326,0.178,1.35,1.898,b'2MASS J19545197+4017328',298.71658,40.292461,12.229,6174.0,167.0,-185.0,b'PHO1',4.127,0.258,-0.172,b'KIC0',-0.06,0.25,-0.3,b'KIC0',1.517,0.441,-0.441,1.124,0.184,-0.151,b'DSEP',0.0,0.0,0.0,11.104,10.921,10.868,b'N/A',b'none',0.009464410327983251,5900,4.12,1.0769,2.5869999999999997,0.003,8570.31,1.175,0.6336,0,---,0.364299068643805
8167,0.063674,5165799.0,2.1035138344086295e+18,283.9424894894,0.0208,40.33210751697,0.0281,3.0713,0.0243,4.78,0.046,2.755,0.051,237399.0,125.46,12.249666,127178.0,252.021,12.590358,158905.0,249.024,11.759073,0.831285,-5.01,1.37,5801.33,0.093,0.047,0.99,0.992,b'2MASS J18554618+4019555',283.94244,40.3321,12.347,5860.0,146.0,-161.0,b'PHO1',4.457,0.094,-0.189,b'KIC0',-0.36,0.3,-0.3,b'KIC0',0.914,0.236,-0.109,0.874,0.109,-0.079,b'DSEP',0.0,0.0,0.0,11.218,10.954,10.872,b'N/A',b'none',0.007911959105264871,5629,4.46,0.9997,6.631,0.005,13602.61,1.2990000000000002,0.7036,0,---,0.5099635384368272
