,angDist,kepid,source_id,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,tm_designation,ra_kic,dec_kic,kepmag,teff,teff_err1,teff_err2,teff_prov,logg_gk,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,kepoi_name,planet?,relative_parallax_err,Teff,logg_mc,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag,jz
19,0.017307,1025986.0,2.0502489556729277e+18,291.03375415996,0.0207,36.77113672888,0.0273,8.8998,0.0258,11.036,0.049,21.342,0.062,1788730.0,1386.11,10.057004,939096.0,1994.88,10.419613,1190790.0,2590.97,9.572329,0.847284,-28.19,1.48,5698.33,0.0857,0.0257,0.97,0.897,b'2MASS J19240808+3646157',291.03369,36.771042,10.15,5604.0,84.0,-67.0,b'SPE68',4.226,0.208,-0.112,b'SPE68',-0.12,0.15,-0.15,b'SPE68',1.187,0.207,-0.23,0.864,0.073,-0.036,b'DSEP',0.0,1.0,1.0,8.981,8.718,8.626,b'N/A',b'cand',0.0028989415492482974,5966,4.13,1.0966,9.724,0.016,16745.51,0.885,0.5803,0,---,0.09806584863568524
44,0.03501,1163579.0,2.0516949895656376e+18,291.54646062615,0.0112,36.8554919301,0.0136,1.6453,0.0141,0.249,0.024,3.869,0.025,102460.0,56.912,13.161984,53877.1,119.657,13.522878,70366.2,91.2641,12.64351,0.879368,-14.04,7.69,5601.11,0.4908,0.248,1.31,1.514,b'2MASS J19261114+3651197',291.54645,36.855469,13.208,5721.0,76.0,-85.0,b'SPE68',4.445,0.072,-0.108,b'SPE68',-0.06,0.15,-0.15,b'SPE68',0.959,0.125,-0.083,0.933,0.058,-0.058,b'DSEP',0.0,0.0,0.0,12.064,11.755,11.668,b'N/A',b'none',0.008569865677991855,6218,4.14,1.1766,5.428999999999999,0.05,13013.54,1.426,0.725,0,---,1.1061289749182892
89,0.0857,1432469.0,2.051749793349996e+18,291.43230303985,0.0186,37.09354100373,0.0225,3.0134,0.023,9.743,0.04,10.842,0.045,163739.0,23.2729,12.652985,83485.9,88.3245,13.047356,114299.0,68.7857,12.11681,0.930546,-27.26,1.55,5420.0,0.1013,0.05,0.97,0.735,b'2MASS J19254374+3705365',291.43228,37.093491,12.714,5525.0,82.0,-71.0,b'SPE68',4.273,0.195,-0.12,b'SPE68',0.0,0.15,-0.15,b'SPE68',1.131,0.208,-0.208,0.874,0.073,-0.037,b'DSEP',0.0,0.0,0.0,11.51,11.182,11.105,b'N/A',b'none',0.007632574500564147,5831,4.02,1.0566,24.726,0.835,3214.72,0.5479999999999999,0.326,0,---,0.3399077613753143
93,0.051383,1432745.0,2.051748728198135e+18,291.4881887956,0.0115,37.07314427032,0.0147,5.3562,0.0147,7.969,0.024,10.59,0.029,101622.0,60.1432,13.170899,40763.0,102.914,13.825723,87057.2,139.477,12.412409,1.413314,-28.48,1.99,4678.14,0.2687,0.129,0.62,0.168,b'2MASS J19255715+3704231',291.48816,37.07309,13.208,4450.0,79.0,-88.0,b'SPE68',4.662,0.009,-0.048,b'SPE68',0.07,0.15,-0.15,b'SPE68',0.644,0.044,-0.017,0.717,0.026,-0.044,b'DSEP',0.0,0.0,0.0,11.491,10.91,10.786,b'N/A',b'none',0.002744483029013106,4354,4.59,0.6848,22.189,0.21899999999999997,17414.45,1.308,0.6561,0,---,0.11835613439864305
101,0.045112,1434277.0,2.0517049538900214e+18,291.82713275237,0.0228,37.08084733892,0.0299,5.3047,0.0336,18.801,0.046,27.366,0.047,660399.0,705.262,11.13885,347697.0,773.104,11.498385,440410.0,551.283,10.652277,0.846108,-28.86,0.91,5665.65,0.032,0.018,1.0,0.934,b'2MASS J19271848+3704506',291.82703,37.080742,11.201,5750.0,78.0,-86.0,b'SPE68',4.499,0.024,-0.128,b'SPE68',0.14,0.15,-0.15,b'SPE68',0.947,0.147,-0.053,1.033,0.05,-0.074,b'DSEP',0.0,0.0,0.0,10.093,9.794,9.737,b'N/A',b'none',0.00633400569306464,5927,4.09,1.0849,10.446,0.033,13959.8,1.3019999999999998,0.6866,0,---,0.1370808445710335
121,0.076479,1570924.0,2.0510159724156447e+18,290.86368991764,0.0257,37.12605116713,0.0282,4.4805,0.0331,19.684,0.05,7.152,0.053,133378.0,196.933,12.875658,59854.4,392.393,13.408648,106080.0,536.136,12.197839,1.210809,-5.12,8.11,4890.0,0.1965,0.1063,0.76,0.297,b'2MASS J19232726+3707337',290.86359,37.126041,12.944,4961.0,136.0,-136.0,b'PHO1',4.543,0.072,-0.044,b'KIC0',-0.08,0.3,-0.3,b'KIC0',0.762,0.065,-0.078,0.741,0.087,-0.063,b'DSEP',0.0,0.0,3.0,11.216,10.751,10.625,b'N/A',b'none',0.007387568351746456,4923,4.55,0.8142,3.234,0.008,82347.63,0.594,0.3315,0,---,0.7001118853396586
136,0.085015,1575580.0,2.0517296241825623e+18,291.86134779082,0.0209,37.17149489688,0.0288,3.749,0.0311,-10.667,0.046,-12.667,0.048,365001.0,67.8445,11.782631,195405.0,250.258,12.124046,242755.0,120.052,11.299001,0.825046,-12.25,0.55,5737.25,0.143,0.072,1.03,1.028,b'2MASS J19272674+3710176',291.86142,37.17157,11.817,5833.0,78.0,-78.0,b'SPE68',4.438,0.051,-0.119,b'SPE68',0.06,0.15,-0.15,b'SPE68',1.007,0.15,-0.069,1.015,0.063,-0.063,b'DSEP',0.0,0.0,0.0,10.761,10.406,10.375,b'N/A',b'none',0.008295545478794344,6095,4.05,1.1366,15.968,0.6709999999999999,2328.63,0.636,0.3931,0,---,0.8301956633543407
153,0.040546,1718401.0,2.0510299568292032e+18,290.78139622306,0.0174,37.27700073429,0.022,1.9362,0.0232,5.734,0.037,7.465,0.044,169891.0,30.9545,12.612939,96507.1,116.038,12.889991,107235.0,81.68,12.186077,0.703914,-32.95,1.87,6398.0,0.157,0.077,1.08,1.754,b'2MASS J19230752+3716370',290.78137,37.276958,12.657,6188.0,80.0,-80.0,b'SPE68',4.266,0.138,-0.112,b'SPE68',-0.14,0.15,-0.15,b'SPE68',1.251,0.222,-0.181,1.05,0.099,-0.053,b'DSEP',0.0,0.0,0.0,11.725,11.485,11.47,b'N/A',b'none',0.011982233240367731,6134,4.59,1.1491,6.98,0.247,1488.21,0.515,0.3797,0,---,0.6002729139486206
163,0.081124,1719974.0,2.052517802218988e+18,291.17709504022,0.0266,37.28573334876,0.0316,1.9205,0.0355,3.625,0.058,-1.47,0.056,294395.0,51.8689,12.016039,163329.0,167.643,12.318731,189803.0,121.212,11.566159,0.752572,-22.58,1.52,5994.33,0.5842,0.31,1.64,3.119,b'2MASS J19244250+3717087',291.17709,37.285759,12.05,6100.0,82.0,-91.0,b'SPE68',4.372,0.057,-0.123,b'SPE68',0.08,0.15,-0.15,b'SPE68',1.142,0.202,-0.087,1.121,0.082,-0.073,b'DSEP',0.0,0.0,0.0,11.069,10.789,10.755,b'N/A',b'none',0.018484769591252274,6033,4.4,1.1172,14.064,0.11800000000000001,2026.5,0.635,0.4225,0,---,0.7826615822125405
190,0.087466,1849159.0,2.099069509631749e+18,286.12361170024,0.0198,37.3417839482,0.024,4.1409,0.0267,15.009,0.04,-3.415,0.042,953405.0,253.959,10.740172,533578.0,504.058,11.033394,602807.0,327.832,10.311475,0.721919,-7.06,5.5,5970.6,0.1875,0.097,1.38,2.174,b'2MASS J19042964+3720304',286.1235,37.341801,10.802,6180.0,167.0,-167.0,b'PHO1',4.137,0.247,-0.133,b'FLK73',-0.48,0.3,-0.25,b'KIC0',1.373,0.281,-0.344,0.941,0.146,-0.097,b'DSEP',0.0,0.0,0.0,9.811,9.585,9.518,b'N/A',b'none',0.006447873650655654,5944,4.22,1.09,46.053000000000004,1.45,452.82,0.659,0.3208,0,---,1.146189891007792
294,0.134031,1995840.0,2.099077962127147e+18,286.24288328929,0.0179,37.49491659911,0.0175,2.7148,0.0219,8.328,0.039,16.706,0.031,85047.9,50.485,13.364206,42117.3,126.824,13.790236,61304.8,176.353,12.793183,0.997053,-37.58,3.64,5350.0,0.025,0.0167,0.8,0.474,b'2MASS J19045827+3729413',286.24283,37.494808,13.358,5458.0,145.0,-162.0,b'PHO1',4.603,0.032,-0.12,b'KIC0',-0.3,0.3,-0.3,b'KIC0',0.755,0.147,-0.059,0.845,0.078,-0.096,b'DSEP',0.0,0.0,0.0,12.13,11.761,11.662,b'N/A',b'none',0.008066892588772653,5284,4.65,0.9078,11.927999999999999,0.081,8762.06,1.2570000000000001,0.7044,0,---,0.5594595723809903
314,0.075087,2011618.0,2.0510372754537057e+18,290.75066807453,0.0109,37.46837220673,0.0141,1.6108,0.0149,-4.151,0.024,-4.255,0.025,111846.0,58.3544,13.066813,58808.2,110.027,13.427794,76756.0,81.9316,12.549139,0.878655,-38.47,2.55,5508.24,,,1.45,1.739,b'2MASS J19230016+3728062',290.7507,37.46841,13.099,5796.0,157.0,-157.0,b'PHO1',4.537,0.063,-0.147,b'KIC0',-0.64,0.3,-0.3,b'KIC0',0.794,0.176,-0.075,0.791,0.093,-0.054,b'DSEP',0.0,0.0,0.0,11.983,11.653,11.592,b'N/A',b'none',0.009250062080953563,5564,4.53,0.982,11.876,0.095,24525.58,1.25,0.6928,0,---,0.8814620827131252
442,0.148229,2158548.0,2.052541987175339e+18,291.08503100349,0.0166,37.57505857042,0.0193,2.396,0.0212,0.543,0.034,1.847,0.035,133018.0,188.04,12.878593,70310.2,292.517,13.233843,90183.1,382.435,12.374107,0.859736,-19.59,5.03,5802.0,0.045,0.009,0.95,0.914,b'2MASS J19242041+3734301',291.08508,37.57505,12.966,5827.0,174.0,-174.0,b'PHO1',4.538,0.117,-0.072,b'KIC0',-1.52,0.3,-0.25,b'KIC0',0.727,0.065,-0.08,0.665,0.064,-0.018,b'DSEP',0.0,0.0,0.0,11.809,11.507,11.435,b'N/A',b'none',0.008848080133555926,5755,4.31,1.0348,2.9419999999999997,0.021,32482.77,1.632,0.7986,0,---,0.475692796760262
471,0.055319,2165356.0,2.0518261406872364e+18,292.54406405448,0.0175,37.51175850761,0.0211,1.2959,0.0219,12.02,0.038,5.769,0.038,231906.0,61.2762,12.275086,122846.0,135.286,12.627985,156811.0,102.452,11.773481,0.854504,-17.72,15.06,5754.0,,,2.35,5.462,b'2MASS J19301055+3730422',292.54398,37.51173,12.283,5877.0,70.0,-79.0,b'SPE68',4.117,0.188,-0.101,b'SPE68',0.07,0.15,-0.15,b'SPE68',1.502,0.244,-0.326,1.076,0.1,-0.08,b'DSEP',0.0,0.0,0.0,11.204,10.913,10.851,b'N/A',b'none',0.016899452118218996,5636,4.37,1.0016,9.883,0.004,7071.02,1.244,0.7084,0,---,5.614301478677646
497,0.041857,2283541.0,2.099091259345917e+18,286.16995700182,0.0226,37.60180479119,0.0271,3.3186,0.0304,3.832,0.051,-3.09,0.056,183692.0,95.4984,12.528142,92213.0,220.117,12.939407,130415.0,182.192,11.973602,0.965805,-20.23,1.39,5369.25,0.178,0.076,0.96,0.684,b'2MASS J19044078+3736065',286.16995,37.601822,12.55,5480.0,149.0,-149.0,b'PHO1',4.431,0.144,-0.176,b'KIC0',-0.28,0.3,-0.3,b'KIC0',0.889,0.201,-0.134,0.779,0.12,-0.055,b'DSEP',0.0,0.0,0.0,11.337,10.978,10.917,b'N/A',b'none',0.009160489362984392,5295,4.41,0.9107,7.356,0.024,13407.47,1.2819999999999998,0.6725,0,---,0.4775334967515557
504,0.142795,2285598.0,2.0991309792021975e+18,286.83862914068,0.0186,37.69707435327,0.0229,13.1857,0.0239,19.369,0.039,81.155,0.039,315356.0,77.0613,11.941363,105555.0,227.766,12.792689,305380.0,311.001,11.049819,1.74287,-25.71,0.4,4081.7,,,0.67,0.114,b'2MASS J19072124+3741480',286.8385,37.69669,11.973,4081.0,109.0,-121.0,b'PHO1',4.668,0.058,-0.027,b'KIC0',-0.2,0.3,-0.3,b'KIC0',0.58,0.042,-0.063,0.573,0.055,-0.055,b'DSEP',0.0,0.0,0.0,9.897,9.284,9.104,b'N/A',b'none',0.001812569677756964,3951,4.49,0.5235,37.056999999999995,0.36200000000000004,3207.33,0.759,0.4478,0,---,0.3442133075321872
508,0.042927,2297468.0,2.0510984357891246e+18,290.20479224401,0.0199,37.63203871114,0.0294,3.3037,0.0295,-9.713,0.042,-25.286,0.055,248766.0,57.9033,12.198887,133005.0,168.076,12.541722,166646.0,105.315,11.707436,0.834287,5.65,2.12,5810.13,0.0725,0.022,0.94,0.898,b'2MASS J19204916+3737557',290.20486,37.632149,12.266,5821.0,69.0,-87.0,b'SPE68',4.477,0.04,-0.12,b'SPE68',-0.02,0.15,-0.15,b'SPE68',0.952,0.142,-0.061,0.991,0.055,-0.067,b'DSEP',0.0,0.0,0.0,11.141,10.831,10.791,b'N/A',b'none',0.008929382207827586,6064,3.84,1.1268,12.265,0.09699999999999999,4504.71,0.992,0.5742,0,---,0.4250411725087998
535,0.427711,2301872.0,2.0525320958703104e+18,291.21223988841,0.0122,37.61712107277,0.0141,10.6735,0.0159,-19.456,0.026,23.999,0.026,103868.0,36.549,13.147166,34315.5,124.196,14.012664,111036.0,1344.68,12.148264,1.8644,-45.89,3.85,4102.0,0.1883,0.0985,,,b'2MASS J19245100+3737013',291.21249,37.61705,13.052,4110.0,110.0,-123.0,b'PHO1',4.646,0.053,-0.021,b'KIC0',-0.04,0.3,-0.3,b'KIC0',0.612,0.039,-0.058,0.606,0.058,-0.058,b'DSEP',0.0,0.0,0.0,10.795,10.179,9.93,b'N/A',b'none',0.001489670679720804,3968,4.42,0.5302,22.888,0.055999999999999994,1749.22,0.7340000000000001,0.449,0,---,0.9294216310542441
538,0.175491,2302288.0,2.0525319584313994e+18,291.30935155394,0.0168,37.66341306218,0.0239,2.1287,0.0225,-7.607,0.037,-22.123,0.042,190059.0,35.0034,12.491142,101837.0,97.1998,12.831621,126883.0,109.264,12.003408,0.828214,20.45,1.45,5792.33,0.455,0.225,1.28,1.655,b'2MASS J19251426+3739485',291.30945,37.66349,12.548,5904.0,71.0,-82.0,b'SPE68',4.447,0.042,-0.119,b'SPE68',0.04,0.15,-0.15,b'SPE68',1.008,0.164,-0.066,1.035,0.065,-0.065,b'DSEP',0.0,0.0,0.0,11.444,11.132,11.088,b'N/A',b'none',0.010569831352468643,5607,4.74,0.9937,18.563,0.069,3275.63,0.868,0.5391,0,---,0.559448201091187
542,0.165937,2302851.0,2.052551955792491e+18,291.42444082953,0.1028,37.630438918,0.1381,7.2132,0.1459,16.369,0.22,32.902,0.236,99758.8,191.901,13.190988,36614.1,143.424,13.942267,104261.0,760.987,12.216616,1.725652,-20.47,13.65,4109.0,0.826,0.3913,0.68,0.118,b'2MASS J19254185+3737490',291.42441,37.630299,13.102,4107.0,110.0,-123.0,b'PHO1',4.651,0.052,-0.021,b'KIC0',-0.08,0.3,-0.3,b'KIC0',0.606,0.039,-0.063,0.599,0.058,-0.058,b'DSEP',0.0,0.0,0.0,11.047,10.439,10.247,b'N/A',b'none',0.020226806410469696,3984,4.47,0.5365,12.217,0.032,11818.05,1.183,0.6298,0,---,0.16842966400041054
548,0.069519,2303102.0,2.0525515778424883e+18,291.47737083512,0.0163,37.62852982139,0.0247,3.2666,0.0232,-2.307,0.035,-3.643,0.039,126160.0,55.4422,12.936061,61545.4,89.9825,13.3784,92127.1,79.5553,12.350952,1.027448,-10.38,3.67,5098.87,0.083,0.041,0.91,0.505,b'2MASS J19255457+3737427',291.47736,37.628551,12.963,5465.0,164.0,-147.0,b'PHO1',4.209,0.276,-0.184,b'KIC0',0.21,0.2,-0.25,b'KIC0',1.257,0.352,-0.352,0.932,0.09,-0.074,b'DSEP',0.0,0.0,10.0,11.643,11.239,11.173,b'N/A',b'none',0.007102185758893038,5252,4.21,0.8995,20.988000000000003,0.23199999999999998,11281.91,1.1640000000000001,0.6176,0,---,0.45621659385189534
681,0.088696,2441864.0,2.05254559924772e+18,291.10737472406,0.0195,37.74568829076,0.0235,3.0501,0.0252,11.845,0.043,-1.96,0.044,641035.0,289.589,11.171161,350607.0,328.763,11.489335,415469.0,253.262,10.715574,0.773761,-60.66,0.45,5834.67,,,1.61,2.712,b'2MASS J19242575+3744445',291.1073,37.74572,11.23,5949.0,149.0,-149.0,b'PHO1',4.135,0.259,-0.13,b'FLK73',-0.26,0.35,-0.25,b'KIC0',1.385,0.3,-0.367,0.956,0.161,-0.099,b'DSEP',0.0,0.0,0.0,10.185,9.895,9.829,b'N/A',b'none',0.008262024195928003,5714,4.69,1.0233,25.109,0.107,840.96,0.8490000000000001,0.4744,0,---,3.6670405652419484
691,0.09767,2442551.0,2.052568414114431e+18,291.26994010218,0.0182,37.77021798632,0.0241,2.8847,0.0238,2.644,0.04,-2.333,0.043,198923.0,137.787,12.441653,105089.0,285.227,12.79749,134975.0,303.321,11.936285,0.861205,-18.89,5.62,5924.12,0.098,0.0495,0.92,0.937,b'2MASS J19250479+3746128',291.26996,37.770229,12.445,5860.0,140.0,-158.0,b'PHO1',4.528,0.048,-0.192,b'KIC0',-0.36,0.3,-0.3,b'KIC0',0.852,0.236,-0.079,0.894,0.099,-0.099,b'DSEP',0.0,0.0,0.0,11.333,11.055,10.982,b'N/A',b'none',0.008250424654210144,5634,4.52,1.0011,3.2960000000000003,0.005,18403.41,1.281,0.6694,0,---,0.2994376611749063
699,0.170253,2443364.0,2.052554360981319e+18,291.45305239606,0.0175,37.74039924035,0.0239,8.3634,0.0244,67.164,0.038,48.243,0.04,133541.0,45.3407,12.874331,46506.6,106.074,13.682601,126581.0,151.594,12.006001,1.676601,-36.49,1.36,4171.67,0.438,0.224,0.64,0.113,b'2MASS J19254863+3744245',291.45264,37.740162,12.915,4171.0,125.0,-125.0,b'PHO1',4.666,0.058,-0.027,b'KIC0',-0.34,0.35,-0.3,b'KIC0',0.579,0.045,-0.06,0.566,0.063,-0.051,b'DSEP',0.0,0.0,0.0,10.895,10.251,10.109,b'N/A',b'none',0.0029174737546930674,4013,4.23,0.5479999999999999,35.915,0.628,3225.39,0.374,0.2705,0,---,3.236450266119809
701,0.030911,2443534.0,2.0525541204631542e+18,291.48812385734,0.2027,37.7162001661,0.2607,2.7181,0.2537,2.886,0.454,10.646,0.486,545360.0,210.391,11.346657,303151.0,367.602,11.647241,350892.0,148.314,10.898987,0.748254,-14.37,1.1,6047.33,0.7657,0.342,1.55,2.879,b'2MASS J19255714+3742581',291.4881,37.71616,11.395,6091.0,150.0,-181.0,b'PHO1',4.487,0.054,-0.216,b'KIC0',-0.14,0.3,-0.3,b'KIC0',0.967,0.325,-0.101,1.045,0.14,-0.14,b'DSEP',0.0,0.0,0.0,10.369,10.125,10.078,b'N/A',b'none',0.09333725764320663,5863,4.5,1.0659999999999998,10.722999999999999,0.15,2705.45,0.579,0.3948,0,---,0.7350641760547256
705,0.088676,2444084.0,2.0525599959784622e+18,291.61221442767,0.0202,37.79729561776,0.0262,3.0935,0.0284,-1.825,0.043,3.322,0.047,374047.0,64.2242,11.756051,208162.0,234.702,12.055383,239524.0,130.698,11.313548,0.741835,-16.07,0.95,6020.0,0.113,0.0568,1.14,1.526,b'2MASS J19262693+3747501',291.61224,37.79726,11.805,6224.0,168.0,-168.0,b'PHO1',4.139,0.247,-0.133,b'FLK73',-0.6,0.35,-0.25,b'KIC0',1.347,0.28,-0.373,0.912,0.131,-0.087,b'DSEP',0.0,0.0,0.0,10.819,10.55,10.514,b'N/A',b'none',0.009180539841603361,5953,4.19,1.0927,10.94,0.151,1972.02,0.547,0.395,0,---,0.77800259156442
767,0.108042,2451037.0,2.051667325679377e+18,293.14406631929,0.0216,37.70217243931,0.0275,1.9328,0.03,0.731,0.043,-6.028,0.046,181595.0,61.9362,12.540607,103530.0,130.843,12.813726,114187.0,132.994,12.117877,0.695849,-24.42,6.83,6325.0,0.113,0.056,1.14,1.883,b'2MASS J19323458+3742079',293.1441,37.702202,12.609,6248.0,81.0,-75.0,b'SPE68',4.328,0.08,-0.12,b'SPE68',-0.06,0.15,-0.15,b'SPE68',1.181,0.216,-0.116,1.078,0.094,-0.061,b'DSEP',0.0,0.0,0.0,11.648,11.418,11.372,b'N/A',b'none',0.015521523178807946,6144,4.61,1.1523,1.74,0.01,6005.64,1.173,0.6505,0,---,0.5748461813646129
858,0.045873,2580928.0,2.0518701898723103e+18,292.54014997128,0.0371,37.89478536211,0.0477,3.9587,0.0508,-7.311,0.078,-28.311,0.089,563326.0,349.201,11.311465,302329.0,360.227,11.65019,370158.0,268.81,10.840954,0.809237,-16.94,3.64,5788.67,0.246,0.1215,1.18,1.419,b'2MASS J19300964+3753417',292.54019,37.89492,11.359,6052.0,164.0,-164.0,b'PHO1',4.116,0.241,-0.13,b'FLK73',-0.3,0.3,-0.25,b'KIC0',1.433,0.3,-0.367,0.978,0.172,-0.119,b'DSEP',0.0,0.0,0.0,10.288,10.014,9.933,b'N/A',b'none',0.012832495516204814,5792,4.1,1.0454,22.649,0.14300000000000002,811.7,0.585,0.3649,0,---,0.2281300567139579
877,0.112552,2583777.0,2.051670422357019e+18,293.16729833194,0.0195,37.8413304858,0.0225,2.2915,0.0255,0.842,0.041,-7.78,0.041,154608.0,42.5403,12.715283,82641.8,153.913,13.058388,104102.0,108.562,12.218275,0.840113,-29.68,17.93,5784.0,0.18,0.09,1.07,1.162,b'2MASS J19324014+3750290',293.16727,37.841389,12.735,6032.0,181.0,-163.0,b'PHO1',4.147,0.299,-0.161,b'KIC0',-0.32,0.3,-0.3,b'KIC0',1.365,0.364,-0.444,0.954,0.143,-0.107,b'DSEP',0.0,1.0,2.0,11.632,11.312,11.243,b'N/A',b'cand',0.01112808204233035,5779,4.14,1.0417,10.549000000000001,0.025,11125.8,0.583,0.3865,0,SM1,0.5937183980652658
885,0.036849,2585256.0,2.0520311265868618e+18,293.49610751148,0.0535,37.84942226318,0.0695,1.648,0.0685,-2.722,0.115,-3.872,0.141,255597.0,38.4134,12.169478,144085.0,150.79,12.45484,161968.0,111.019,11.738347,0.716493,-22.13,0.82,6269.55,,,1.62,3.65,b'2MASS J19335906+3750580',293.49612,37.849449,12.189,6194.0,80.0,-80.0,b'SPE68',4.305,0.099,-0.121,b'SPE68',-0.02,0.15,-0.15,b'SPE68',1.218,0.21,-0.14,1.088,0.099,-0.066,b'DSEP',0.0,0.0,0.0,11.255,11.009,10.965,b'N/A',b'none',0.04156553398058253,6157,4.15,1.1565,14.481,0.13699999999999998,1922.58,0.9159999999999999,0.517,0,---,0.6959044562092818
897,0.071196,2692704.0,2.0998592682165115e+18,285.7756190565,0.0278,37.92296449184,0.0303,16.0308,0.0337,37.367,0.061,34.164,0.057,89714.7,76.3255,13.306207,20053.3,92.1538,14.595922,107358.0,184.495,12.184836,2.411086,-18.28,2.87,3774.0,0.5495,0.2763,,,b'2MASS J19030609+3755220',285.77542,37.922798,13.324,3792.0,120.0,-147.0,b'KIC0',4.664,0.072,-0.018,b'KIC0',0.56,0.05,-0.3,b'KIC0',0.594,0.028,-0.075,0.594,0.04,-0.06,b'DSEP',0.0,0.0,4.0,10.62,9.986,9.77,b'N/A',b'none',0.002102203258726951,3624,4.1,0.39899999999999997,14.902999999999999,0.19899999999999998,28900.8,0.7809999999999999,0.4468,0,---,0.13835342105144516
938,0.036873,2708367.0,2.0527981776833505e+18,290.33883522218,0.0109,37.99524295509,0.0133,1.5235,0.0142,-4.41,0.023,-0.514,0.024,110986.0,26.8374,13.075193,62257.5,56.9394,13.365909,71414.1,59.4061,12.62746,0.738449,-47.72,6.74,6232.0,0.219,0.1287,1.17,1.856,b'2MASS J19212132+3759429',290.33887,37.995251,13.105,6129.0,79.0,-85.0,b'SPE68',4.352,0.063,-0.117,b'SPE68',0.12,0.15,-0.15,b'SPE68',1.187,0.207,-0.111,1.158,0.073,-0.081,b'DSEP',0.0,0.0,0.0,12.135,11.854,11.86,b'N/A',b'none',0.009320643255661306,6231,4.36,1.1809,10.37,1.252,1022.22,0.355,0.2623,0,---,1.3952973145342942
1016,0.068067,2717009.0,2.051896097116179e+18,292.30223127489,0.0104,37.90629947949,0.0131,3.2441,0.0133,-28.222,0.022,-24.991,0.026,103349.0,26.0403,13.152598,44001.0,63.9349,13.742731,84887.5,83.9212,12.439811,1.30292,-13.86,0.23,5048.0,0.7543,0.3855,0.85,0.424,b'2MASS J19291257+3754231',292.3024,37.906422,13.164,4829.0,129.0,-129.0,b'PHO1',4.516,0.079,-0.711,b'KIC0',0.26,0.2,-0.25,b'KIC0',0.81,0.09,-0.08,0.784,0.06,-0.054,b'DSEP',0.0,0.0,0.0,11.566,11.043,10.933,b'N/A',b'none',0.004099750315958201,4629,4.21,0.7361,26.006,0.39,4271.36,0.851,0.5581,0,---,4.802337850727071
1030,0.106586,2718397.0,2.051870808348063e+18,292.60204331513,0.0119,37.95814278634,0.0151,5.0626,0.0166,12.653,0.025,38.18,0.028,90021.8,23.6647,13.302497,31008.1,61.1622,14.122699,86161.5,76.2473,12.423636,1.699062,-20.88,7.46,4140.0,1.0465,0.557,0.9,0.212,b'2MASS J19302447+3757286',292.60196,37.957951,13.348,4137.0,124.0,-124.0,b'PHO1',4.658,0.056,-0.024,b'KIC0',-0.22,0.3,-0.3,b'KIC0',0.591,0.043,-0.065,0.58,0.065,-0.053,b'DSEP',0.0,0.0,0.0,11.307,10.654,10.52,b'N/A',b'none',0.003278947576344171,4004,4.47,0.5444,22.445999999999998,0.203,6550.76,1.153,0.6577,0,---,0.6901346870682108
1031,0.031541,2718678.0,2.051871701694143e+18,292.66766742836,0.0382,37.98953639844,0.0467,3.5274,0.0477,-7.588,0.097,-12.474,0.093,505968.0,239.245,11.428058,277070.0,289.064,11.744913,329798.0,360.587,10.966298,0.778615,3.94,12.67,5875.33,0.075,0.039,1.22,1.597,b'2MASS J19304025+3759225',292.66772,37.98959,11.493,6095.0,165.0,-165.0,b'PHO1',4.205,0.192,-0.128,b'FLK73',-0.14,0.3,-0.3,b'KIC0',1.337,0.295,-0.295,1.045,0.151,-0.135,b'DSEP',0.0,0.0,0.0,10.423,10.106,10.069,b'N/A',b'none',0.01352270794352781,5851,4.44,1.0625,23.671999999999997,4.356,817.48,0.732,0.4223,0,---,0.7510708476696507
1070,0.013348,2722192.0,2.0520477266447857e+18,293.42942189458,0.0188,37.99777249318,0.0249,5.1502,0.0252,7.457,0.04,22.085,0.048,563400.0,535.605,11.311324,293372.0,555.137,11.682841,379936.0,695.071,10.812643,0.870198,-22.77,0.74,5641.5,0.149,0.0642,0.96,0.847,b'2MASS J19334305+3759516',293.42938,37.997681,11.353,5688.0,77.0,-85.0,b'SPE68',4.482,0.038,-0.113,b'SPE68',0.1,0.15,-0.15,b'SPE68',0.946,0.132,-0.057,0.99,0.052,-0.062,b'DSEP',0.0,0.0,0.0,10.239,9.925,9.868,b'N/A',b'none',0.00489301386353928,5635,4.13,1.0013,13.819,0.04,11964.86,0.96,0.6133,0,---,0.4181586261114468
